Country,People using safely managed drinking water services % of population 2017,People using safely managed sanitation services % of population 2017,Access to electricity % of population 2017,Renewable energy consumption % of total final energy consumption 2015_x,Expenditures for R&D % of GDP 2015,Urban population living in slums % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014_x,Nationally protected terrestrial and marine areas % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017,Rural population % of total 2000,Rural population % of total 2018,Rural population growth (annual %)  2018,Land area sq. km thousands 2016,Land use Forest area % of land area 2000,Land use Forest area % of land area 2016,Land use Permanent cropland % of land area 2000,Land use Permanent cropland % of land area 2016,Land use Arable land % of land area 2000,Land use Arable land % of land area 2016,Arable land hectares per person 2000,Arable land hectares per person 2016,Access to electricity % of population 2000,Access to electricity % of population 2016,Access to electricity % of urban population 2016,Access to electricity % of rural population 2016,Access to clean fuels and technologies for cooking % of population 2000,Access to clean fuels and technologies for cooking % of population 2016,Renewable energy consumption % of total final energy consumption 2000,Renewable energy consumption % of total final energy consumption 2015_y,Renewable electricity output % of total electricity output 2000,Renewable electricity output % of total electricity output 2015,Agricultural land % of land area 2000-02,Agricultural land % of land area 2014-16,Agricultural land % irrigated 2014-16,Average annual precipitation millimeters 2014,Land under cereal production hectares thousands 2000-02,Land under cereal production hectares thousands 2014-16,Fertilizer consumption % of fertilizer production 2014-16,Fertilizer consumption kilograms per hectare of arable land 2014-16,Agricultural employment % of total employment 2000-02,Agricultural employment % of total employment 2014-16,Agricultural machinery tractors per 100 sq. km of arable land 2000,Agricultural machinery tractors per 100 sq. km of arable land 2009,Exposure to impact Land area where elevation is below 5 meters % of land area 2010,Exposure to impact Population living in areas where elevation is below 5 meters % of total population 2010,"Exposure to impact Population affected by droughts, floods, and extreme temperatures average annual; % of total population 2009",Exposure to impact Urban land area where elevation is below 5 meters % of urban land area 2010,Exposure to impact Rural population living in areas where elevation is below 5 meters % of rural population 2010,Exposure to impact Rural land area where elevation is below 5 meters % of rural land area 2010,Exposure to impact Urban population living in areas where elevation is below 5 meters % of urban population 2010,"Resilience Disaster risk reduction progress score 1, worst to 5,best 2011",Net energy imports % of energy use 1990,Net energy imports % of energy use 2015,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 1990,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 2015,Carbon dioxide emissions Total thousand metric tons 1990,Carbon dioxide emissions Total thousand metric tons 2014,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014,Carbon dioxide emissions per capita metric tons 1990,Carbon dioxide emissions per capita metric tons 2014_y,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 1990,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 2014,Annual freshwater withdrawals Flows billion cu. m 2014,Annual freshwater withdrawals billion cu. m 2014,Annual freshwater withdrawals % of internal resources 2014,Annual freshwater withdrawals % for agriculture 2015,Annual freshwater withdrawals % for industry 2014,Water productivity % of domestic 2015,People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015,People using at least basic drinking water services Urban % of urban population 2018,People using at least basic drinking water services Rural % of Rural population 2018,Total greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Total greenhouse gas emissions % change 1990-2012,Methane emissions thousand metric tons of carbon dioxide equivalent 2012,Methane emissions % change 1990-2012,Methane emissions From energy processes % of total 2008,Methane emissions Agricultural % of total 2008,Nitrous oxide emissions thousand metric tons of carbon dioxide equivalent 2012,Nitrous oxide emissions % change 1990-2012,Nitrous oxide emissions From energy processes % of total 2008,Nitrous oxide emissions Agricultural % of total 2008,Other greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Other greenhouse gas emissions % change 1990-2012,Health expenditure Current % of GDP 2016,Health expenditure Public % of current 2016,Health expenditure Out of pocket % of current 2016,Health expenditure per capita $ 2016,Health expenditure per capita current PPP $ 2016,External health expenditure (% of current health expenditure)  2016,"Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce per 100,000 population 2008-18",Completeness of birth registration % 2009-18,Completeness of death registration % 2008-16,"Incidence of tuberculosis per 100,000 people 2018",output
St. Martin (French part),79.07499999999999,68.34255319148937,100.0,29.48047619047619,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,4.882758620689655,92.0,17.1,55.16731707317073,44.882075471698116,39.41706161137441,0.19162561576354678,0.1,18.4,18.4,4.659375,4.519587628865979,13.962068965517242,14.050731707317071,0.22561576354679802,0.19107843137254904,75.34093264248705,100.0,100.0,100.0,55.68989361702128,64.84840425531915,31.872815533980578,29.48047619047619,0.0,0.0,38.1764705882353,37.69417475728155,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,1.1714285714285713,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,4.579274611398964,4.905940594059406,0.32500000000000007,0.2513089005235602,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,221.65217391304347,25.64776119402985,8.986138613861387,63.42623762376239,109.12765957446808,80.69254658385093,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,102.89371980676329,1
St. Vincent and the Grenadines,79.07499999999999,68.34255319148937,100.0,5.8,0.8568,45.734939759036145,22.1,0.4,1.9,0.5,36.5,22.0,55.0,48.0,-0.5,0.4,66.7,69.2,7.7,7.7,12.8,12.8,0.05,0.05,79.9,99.9,97.4,100.0,95.4,96.0,8.5,5.8,26.6,15.7,26.0,26.0,10.086792452830188,480.17894736842106,0.0,0.0,145.89054054054054,141.3229299363057,15.9,13.8,208.0,224.0,3.4,3.7,0.0,0.5,3.1,2.9,0.7,3.2987951807228924,-29.218045112781954,-16.47142857142857,20.4,9.64963503649635,81.0,209.0,2.7,2.135,0.8,1.9,0.1,0.2,0.1,0.0,7.9,0.0,0.0,100.0,89.0,94.19885057471264,80.00595238095238,319.2,127.0,40.0,34.1,5.2,24.7,18.0,3.1,12.6,47.9,-47.0,80.69254658385093,3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,84.20245398773007,100.0,6.0,0
Sudan,79.07499999999999,68.34255319148937,56.5,61.6,0.8568,91.6,54.1,0.2,0.3,2.8,7.763095238095239,30.9,68.0,65.0,2.0,171.07621621621624,32.58980582524272,32.120388349514556,4.659375,4.519587628865979,13.962068965517242,14.050731707317071,0.22561576354679802,0.19107843137254904,23.0,52.9,80.6,38.5,14.2,41.3,80.4,61.6,46.0,64.5,38.1764705882353,37.69417475728155,10.086792452830188,250.0,278.22336448598134,260.49223300970874,145.89054054054054,7.2,48.5,43.4,207.31297709923663,194.94313725490193,0.1,0.3,2.8,0.0,0.1,0.1,0.2,3.2987951807228924,17.0,-9.0,4.3,10.5,339.6545454545454,405.780487804878,0.5,1.0,0.2,0.3,0.1,0.1,4.0,26.9,673.3,96.0,0.0,4.0,2.0,73.8,53.2,381.29999999999995,430.9,152.66666666666666,104.8,6.4,87.9,221.65217391304347,136.1,0.7,90.7,109.12765957446808,80.69254658385093,5.7,19.5,73.9,152.0,297.9,2.2,0.4,0.8,2.7,67.0,89.30934579439251,71.0,0
Suriname,79.07499999999999,68.34255319148937,96.8,24.9,0.8568,7.3,25.3,6.700680272108843,3.6,8.5,6.1,48.9,34.0,34.0,0.9,156.0,98.7,98.3,0.1,0.0,0.4,0.4,0.12,0.12,97.2,96.0,99.4,89.3,79.9,89.6,26.5,24.9,88.4,60.1,0.0,1.0,10.086792452830188,480.17894736842106,40.1,62.7,145.89054054054054,217.7,7.5,7.2,161.1,215.5,2.7,56.2,0.3,0.2,4.6,2.5,51.6,3.2987951807228924,-29.218045112781954,-44.0,9.469655172413793,12.2,339.6545454545454,405.780487804878,2.3329113924050633,2.9,4.4,3.6,0.4,0.2,99.0,0.6,0.6,70.0,22.0,8.0,6.0,98.2,90.0,381.29999999999995,-74.7,709.0,-28.1,3.6,79.3,273.0,-39.5,3.5,52.2,-476.0,-99.8,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,37.93714285714286,99.0,100.0,38.0,0
Sweden,99.9,93.4,100.0,53.2,3.3,45.734939759036145,6.1,19.1,4.5,15.0,1.1,95.5,16.0,13.0,-1.0,407.3,68.6,68.9,0.0,0.0,6.6,6.3,0.3,0.26,100.0,100.0,100.0,100.0,100.0,100.0,40.0,53.2,57.2,63.3,8.0,7.0,10.086792452830188,624.0,278.22336448598134,260.49223300970874,145.89054054054054,96.3,2.5,1.9,610.4,591.5,1.0,3.7,0.0,0.3,1.1,0.6,2.6,3.8,37.0,25.0,5.6,9.1,339.6545454545454,405.780487804878,1.1,0.9,6.1,4.5,0.2,0.1,171.0,2.7,1.6,4.0,58.0,38.0,184.0,100.0,100.0,381.29999999999995,-14.8,152.66666666666666,-10.6,11.0,28.2,221.65217391304347,-25.4,19.0,59.8,109.12765957446808,86.1,10.9,83.5,15.2,262.8720588235294,386.33181818181816,9.116766467065869,5.4,11.5,113.1,100.0,100.0,6.0,0
Switzerland,95.5,99.5,100.0,25.3,3.4,45.734939759036145,10.3,16.4,4.3,9.7,0.7,89.7,27.0,26.0,0.6,39.5,30.2,31.8,0.6,0.6,10.3,10.1,0.06,0.05,100.0,100.0,100.0,100.0,100.0,100.0,18.6,25.3,57.0,62.2,39.0,38.0,2.2,480.17894736842106,173.5,144.3,145.89054054054054,214.4,4.3,3.4,207.31297709923663,194.94313725490193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,58.0,50.0,13.3,19.4,339.6545454545454,405.780487804878,1.7,1.4,6.3,4.3,0.1,0.1,40.4,2.0,5.0,8.0,32.0,60.0,299.0,100.0,100.0,381.29999999999995,-4.1,152.66666666666666,-17.0,21.6,64.6,221.65217391304347,-17.1,15.8,58.0,109.12765957446808,-5.5,12.2,62.8,29.6,262.8720588235294,386.33181818181816,9.116766467065869,4.2,17.3,94.8,100.0,100.0,6.0,0
Syrian Arab Republic,79.07499999999999,68.34255319148937,89.6,0.5,0.0,19.3,43.7,6.700680272108843,1.6,0.7,7.763095238095239,34.3,48.0,46.0,-2.4,183.6,2.4,2.7,4.4,5.8,24.7,25.4,0.28,0.27,86.6,89.7,100.0,78.2,97.2,99.0,2.0,0.5,12.8,2.3,75.0,76.0,10.086792452830188,252.0,278.22336448598134,260.49223300970874,85.4,7.6,28.7,14.6,215.0,215.0,0.0,0.1,0.5,0.0,0.1,0.0,0.0,3.5,-113.0,48.0,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,3.6,2.8,3.0,1.6,0.32500000000000007,0.2513089005235602,7.1,14.1,198.3,48.22330097087379,4.0,28.303030303030305,55.86915887850467,99.0,95.2,381.29999999999995,58.7,152.66666666666666,52.5,45.4,35.0,221.65217391304347,41.9,4.0,80.5,109.12765957446808,983.4,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.2,1.5,37.93714285714286,84.20245398773007,92.0,19.0,0
Tajikistan,47.9,68.34255319148937,99.3,44.7,0.1,45.734939759036145,43.4,6.3,0.6,22.3,7.763095238095239,22.0,73.0,73.0,2.2,138.8,2.9,3.0,0.7,1.0,5.6,5.3,0.13,0.08,98.5,99.9,99.7,100.0,38.7,80.4,62.4,44.7,98.4,98.5,33.0,34.0,10.086792452830188,691.0,363.9,408.2,121.5,81.4,57.0,51.5,310.2,310.2,4.993181818181818,7.268750000000001,5.4,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,62.0,36.0,3.6,7.6,339.6545454545454,405.780487804878,1.8,1.9,1.3,0.6,0.6,0.2,63.5,11.2,17.6,91.0,4.0,6.0,0.0,96.2,75.6,381.29999999999995,-29.1,152.66666666666666,25.8,11.8,71.3,221.65217391304347,22.9,1.3,87.7,109.12765957446808,-86.9,7.0,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,89.30934579439251,84.0,0
Tanzania,79.07499999999999,25.4,32.8,85.7,0.5,50.7,28.4,23.1,0.2,31.0,7.0,25.0,78.0,66.0,1.9,885.8,58.6,51.6,1.6,2.4,9.7,15.2,0.26,0.25,9.6,32.8,65.3,17.3,1.1,2.2,93.7,85.7,86.4,34.2,39.0,45.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,12.6,80.7,67.5,19.0,24.7,0.1,0.7,1.5,0.0,0.4,0.1,0.3,3.5,7.0,11.0,3.9,5.0,339.6545454545454,405.780487804878,0.2,0.5,0.1,0.2,0.1,0.1,84.0,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,85.5,42.5,381.29999999999995,147.8,152.66666666666666,4.1,22.2,60.2,221.65217391304347,-37.5,5.1,82.6,109.12765957446808,319.3,4.1,40.6,21.9,35.5,112.0,36.4,0.0,0.4,0.5,26.4,89.30934579439251,253.0,1
Thailand,79.07499999999999,68.34255319148937,100.0,22.9,0.6,25.0,26.3,14.0,4.6,12.5,3.5,52.9,69.0,50.0,-1.2,510.9,33.3,32.2,6.6,8.8,30.6,32.9,0.25,0.24,82.1,100.0,99.9,100.0,68.0,74.4,22.0,22.9,6.8,8.5,39.0,43.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,161.7,43.9,31.2,280.5,280.5,2.9,10.3,3.8,0.8,4.1,2.1,6.3,3.8,37.0,42.0,9.0,7.5,339.6545454545454,405.780487804878,2.2,2.3,1.6,4.6,0.2,0.3,224.5,57.3,25.5,90.0,5.0,5.0,5.0,99.9,100.0,381.29999999999995,111.7,152.66666666666666,25.3,22.2,62.4,221.65217391304347,67.5,13.5,69.8,109.12765957446808,227.6,3.7,78.1,12.1,221.9,635.0,0.2,0.8,3.0,13.1,100.0,89.30934579439251,153.0,1
Timor-Leste,79.07499999999999,68.34255319148937,80.4,18.2,0.8568,45.734939759036145,20.0,-14.6,0.4,4.4,3.9,27.5,76.0,69.0,1.4,14.9,57.4,45.4,4.5,5.0,8.1,10.4,0.14,0.13,25.6,76.5,98.4,67.2,2.3,6.9,48.3,18.2,0.0,0.0,24.0,26.0,10.086792452830188,480.17894736842106,88.4,85.4,145.89054054054054,141.3229299363057,52.6,49.6,7.1,194.94313725490193,0.7,0.9,0.0,0.0,0.8,0.7,0.1,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,469.0,2.3329113924050633,2.135,4.579274611398964,0.4,0.32500000000000007,0.1,8.2,24.320143884892087,14.3,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,98.3,69.7,959.3,111.8,732.0,115.0,1.2,86.4,226.0,102.2,1.1,88.0,-556.0,-500.0,4.0,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,89.30934579439251,498.0,1
Togo,79.07499999999999,68.34255319148937,48.0,71.3,0.3,51.2,37.1,-7.5,0.4,21.8,7.763095238095239,12.4,67.0,58.0,1.5,54.4,8.9,3.1,2.4,3.1,46.0,48.7,0.51,0.35,17.0,47.4,87.1,20.2,0.3,6.7,77.1,71.3,57.1,75.3,64.0,70.0,10.086792452830188,480.17894736842106,708.6,260.49223300970874,11.5,11.0,37.9,35.3,0.3,0.6,0.4,3.6,0.5,0.1,0.2,0.3,3.4,3.2987951807228924,17.0,20.0,3.9,3.1,774.0,405.780487804878,0.6,0.8,0.2,0.4,0.2,0.3,11.5,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,89.1,48.4,381.29999999999995,71.0,152.66666666666666,72.9,27.9,39.0,221.65217391304347,39.9,3.8,66.7,109.12765957446808,57.3,6.6,20.0,50.4,38.8,99.9,20.7,0.0,0.3,0.5,78.0,89.30934579439251,36.0,0
Tonga,79.07499999999999,68.34255319148937,98.0,1.9,0.8568,45.734939759036145,11.0,6.700680272108843,1.2,1.5,1.0,41.2,77.0,77.0,1.2,0.7,12.5,12.5,15.3,15.3,20.8,25.0,0.15,0.18,85.4,97.0,98.6,96.5,48.0,59.2,2.5,1.9,0.0,5.9,42.0,46.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,39.3,31.9,30.8,80.0,162.0,7.3,7.5,1.1714285714285713,1.6,4.6,5.8,2.9,3.2987951807228924,-29.218045112781954,-16.47142857142857,13.4,9.64963503649635,77.0,121.0,3.0,2.135,0.8,1.2,0.2,0.2,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,99.8,99.9,155.3,24.8,61.0,8.7,1.5,70.7,22.0,14.8,3.3,95.8,-116.0,-100.0,5.3,65.9,11.0,203.2,311.4,19.4,0.5,3.9,14.0,93.0,89.30934579439251,10.0,0
Trinidad and Tobago,79.07499999999999,68.34255319148937,100.0,0.3,0.1,45.734939759036145,24.2,6.700680272108843,34.0,2.0,30.9,77.3,44.0,47.0,0.5,5.1,45.5,46.0,4.9,4.3,6.8,4.9,0.03,0.02,91.3,100.0,100.0,100.0,98.7,99.3,0.8,0.3,0.4,0.0,12.0,11.0,10.086792452830188,480.17894736842106,4.3,3.4,0.2,356.0,6.9,3.2,207.31297709923663,194.94313725490193,2.7,2.9,0.0,0.9,0.9,1.7,2.0,3.2987951807228924,-111.0,-103.0,2.2,2.2,339.6545454545454,405.780487804878,2.8,2.4,13.9,34.0,1.3,1.1,3.8,0.3,8.8,4.0,34.0,62.0,66.0,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,386.9,86.6,0.5,281.0,-51.5,12.1,50.4,109.12765957446808,80.69254658385093,6.5,52.8,40.1,262.8720588235294,386.33181818181816,0.1,2.7,3.5,30.9,97.0,85.0,21.0,0
Tunisia,92.7,78.1,100.0,12.6,0.6,8.0,38.5,-9.6,2.6,5.2,3.0,64.2,37.0,31.0,0.2,155.4,5.4,6.8,13.7,15.0,18.4,18.7,0.3,0.26,94.8,100.0,100.0,100.0,93.3,99.1,14.2,12.6,0.8,2.8,63.0,65.0,10.086792452830188,207.0,446.2,858.7,15.6,59.3,19.0,15.0,114.2,142.6,1.9,8.5,0.1,0.5,1.5,1.4,7.0,3.2987951807228924,-16.0,36.0,9.3,11.4,339.6545454545454,405.780487804878,2.7,2.7,1.6,2.6,0.3,0.2,4.2,3.2,76.7,80.0,5.0,15.0,13.0,99.7,88.7,381.29999999999995,87.2,152.66666666666666,88.4,56.0,31.8,221.65217391304347,27.4,8.6,68.0,109.12765957446808,435.4,7.0,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99.0,37.0,35.0,0
Turkey,79.07499999999999,65.2,100.0,13.4,0.9,11.9,44.5,11.4,4.5,0.2,4.3,64.7,35.0,25.0,-0.5,769.6,13.2,15.4,3.3,4.3,31.0,26.5,0.38,0.26,75.34093264248705,100.0,100.0,100.0,55.68989361702128,64.84840425531915,17.3,13.4,24.9,32.0,54.0,50.0,13.5,593.0,278.22336448598134,260.49223300970874,202.9,137.7,34.5,19.5,395.3,395.3,0.5,1.8,0.1,0.1,0.6,0.4,1.2,3.2987951807228924,51.0,75.0,11.7,14.1,339.6545454545454,405.780487804878,2.8,2.8,2.7,4.5,0.2,0.2,227.0,42.0,18.5,81.0,19.7984496124031,28.303030303030305,18.0,98.6,99.6,381.29999999999995,98.5,152.66666666666666,79.8,19.6,31.9,221.65217391304347,24.6,10.5,69.9,109.12765957446808,187.4,4.3,78.4,16.5,468.6,386.33181818181816,9.116766467065869,1.8,2.6,47.6,99.0,78.0,16.0,0
Turkmenistan,93.9,68.34255319148937,100.0,0.0,0.8568,45.734939759036145,21.7,6.700680272108843,12.5,3.2,7.763095238095239,21.3,54.0,48.0,0.7,469.9,8.8,8.8,0.1,0.1,4.1,4.1,0.43,0.34,99.6,100.0,100.0,100.0,96.3,99.3,0.1,0.0,0.0,0.0,75.0,72.0,10.086792452830188,161.0,842.5,260.49223300970874,145.89054054054054,141.3229299363057,25.5,23.1,329.8,194.94313725490193,4.993181818181818,7.268750000000001,0.0,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-317.0,-192.0,1.7,2.9,339.6545454545454,405.780487804878,3.2,2.6,8.5,12.5,1.3,0.9,1.4,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,100.0,97.6,381.29999999999995,13.3,152.66666666666666,-26.3,76.7,20.5,221.65217391304347,115.4,1.8,75.8,109.12765957446808,88.9,6.6,18.5,76.2,422.8,386.33181818181816,0.2,2.2,4.6,58.8,100.0,89.30934579439251,46.0,0
Turks and Caicos Islands,79.07499999999999,68.34255319148937,100.0,0.6,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,5.8,0.4,5.9,55.16731707317073,15.0,7.0,-2.5,1.0,36.2,36.2,4.659375,4.519587628865979,1.1,1.1,0.05,0.03,95.6,100.0,100.0,100.0,55.68989361702128,64.84840425531915,0.7,0.6,0.0,0.0,1.0,1.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,55.9,48.4,1.1714285714285713,0.8,35.4,55.1,12.9,2.3,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,29.0,205.0,2.3329113924050633,2.135,2.4,5.8,0.32500000000000007,0.3,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,227.2,6.0,165.8,5.7,0.0,1.0,648.2,60.7,0.0,109.12765957446808,-540.0,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,6.0,0
Tuvalu,79.07499999999999,6.3,100.0,0.0,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,1.0,0.0,18.6,49.3,54.0,38.0,-1.0,0.0,33.3,33.3,66.7,60.0,13.962068965517242,14.050731707317071,0.22561576354679802,0.19107843137254904,94.6,99.7,100.0,99.2,18.6,50.4,0.0,0.0,0.0,28.2,57.0,60.0,10.086792452830188,161.0,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,32.7,47.5,1.1714285714285713,0.0,47.5,32.7,0.0,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,7.0,11.0,2.3329113924050633,2.135,0.8,1.0,0.3,0.3,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,99.6,98.8,5.2,30.0,3.0,25.6,0.0,35.2,1.0,44.9,0.0,98.5,0.0,-620.0,15.5,84.5,0.7,507.4,601.0,12.2,0.9,3.8,26.1,84.20245398773007,89.30934579439251,270.0,1
Uganda,7.1,68.34255319148937,22.0,89.1,0.2,53.6,51.9,-9.5,0.1,16.1,10.8,23.7,85.0,76.0,3.0,200.5,19.4,9.7,10.5,11.0,26.5,34.4,0.22,0.17,8.2,26.7,57.5,17.7,1.0,0.8,93.9,89.1,99.6,93.0,64.0,72.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,1.9,68.8,71.4,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,0.9,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,759.0,405.780487804878,2.3329113924050633,2.135,0.0,0.1,0.1,0.1,39.0,0.6,1.6,41.0,8.0,51.0,28.0,75.1,41.3,381.29999999999995,118.8,152.66666666666666,72.8,22.3,65.5,221.65217391304347,86.7,4.6,86.1,109.12765957446808,168.1,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,89.30934579439251,200.0,1
Ukraine,92.0,68.5,100.0,4.1,0.6,45.734939759036145,20.6,3.5,5.0,3.9,6.2,58.9,33.0,31.0,-0.8,579.3,16.4,16.7,1.6,1.5,56.2,56.6,0.66,0.73,100.0,100.0,100.0,100.0,88.3,95.7,1.3,4.1,6.6,4.4,71.0,72.0,0.8,565.0,278.22336448598134,260.49223300970874,103.2,52.7,21.4,15.6,97.9,102.7,1.2,1.8,0.3,0.1,0.5,1.1,1.3,3.2987951807228924,46.0,27.0,2.2,3.4,339.6545454545454,405.780487804878,2.9,2.2,12.1,5.0,1.4,0.6,55.1,14.9,27.0,30.0,48.0,22.0,9.0,91.3,99.4,381.29999999999995,-57.5,152.66666666666666,-44.4,69.6,15.0,221.65217391304347,-57.8,5.7,41.7,-196.0,-77.0,6.7,42.4,54.3,141.2,534.2,0.8,3.0,7.1,86.6,100.0,99.0,80.0,0
United Arab Emirates,79.07499999999999,96.3,100.0,0.1,0.9,45.734939759036145,40.5,6.700680272108843,22.9,15.0,0.7,94.8,20.0,13.0,-0.5,71.0,4.4,4.6,2.6,0.6,0.8,0.6,0.02,0.0,100.0,100.0,100.0,100.0,96.6,98.5,0.1,0.1,0.0,0.2,8.0,5.0,21.6,78.0,0.2,0.2,3.4,714.9,6.7,3.8,63.3,63.3,4.8,14.8,1.1714285714285713,1.5,1.6,3.3,13.2,3.2987951807228924,-440.0,-184.0,10.1,8.2,339.6545454545454,405.780487804878,2.5,3.0,28.4,22.9,0.3,0.4,0.2,2.8,48.766666666666666,48.22330097087379,2.0,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,182.6,152.66666666666666,92.0,92.9,2.5,221.65217391304347,129.2,14.9,35.9,109.12765957446808,68.4,3.5,72.5,18.6,262.8720588235294,386.33181818181816,0.0,2.4,5.6,37.93714285714286,100.0,87.0,1.0,0
United Kingdom,100.0,97.8,100.0,8.7,1.7,45.734939759036145,10.5,5.5,6.5,28.8,1.0,94.6,21.0,17.0,-0.9,241.9,12.2,13.1,0.2,0.2,24.3,24.9,0.1,0.09,100.0,100.0,100.0,100.0,100.0,100.0,1.0,8.7,2.7,24.8,70.0,72.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,182.1,252.9,1.4,1.1,207.31297709923663,194.94313725490193,4.2,5.3,0.0,1.2,1.1,3.0,4.2,3.2987951807228924,-1.0,35.0,7.4,14.2,339.6545454545454,405.780487804878,2.7,2.3,9.7,6.5,0.4,0.2,145.0,8.0,5.5,13.0,14.0,71.0,318.0,100.0,100.0,381.29999999999995,-24.6,152.66666666666666,-49.8,22.6,39.5,221.65217391304347,-55.4,8.9,60.9,109.12765957446808,-2.7,9.8,80.2,15.1,262.8720588235294,386.33181818181816,0.0,2.8,8.3,133.3,100.0,100.0,8.0,0
